map_name,seed,solved,approximate_solution,elapsed_s,path_length,state_count,forward_length,reverse_length,gear_switches,travel_time_s,total_uncertainty,overall_score,planner_type,path_role
cluttered_random,31,False,True,10.013954,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,shortest distance
cluttered_random,34,False,True,10.002588,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,shortest distance
cluttered_random,1,False,True,10.023197,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,fastest time
cluttered_random,4,False,True,10.021836,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,fastest time
cluttered_random,7,False,True,10.010428,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,fastest time
cluttered_random,10,False,True,10.002729,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,fastest time
cluttered_random,13,False,True,10.005568,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,fastest time
cluttered_random,16,False,True,10.038978,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,fastest time
cluttered_random,19,False,True,10.048295,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,fastest time
cluttered_random,22,False,True,10.047344,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,fastest time
cluttered_random,25,False,True,10.024350,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,fastest time
cluttered_random,28,False,True,10.027331,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,fastest time
cluttered_random,31,False,True,10.026596,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,fastest time
cluttered_random,34,False,True,10.042529,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,fastest time
cluttered_random,1,False,True,10.021813,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,lowest uncertainty
cluttered_random,4,False,True,10.005860,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,lowest uncertainty
cluttered_random,7,False,True,10.042107,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,lowest uncertainty
cluttered_random,10,False,True,10.006759,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,lowest uncertainty
cluttered_random,13,False,True,10.031022,0.000000,0,0.000000,0.000000,0,inf,inf,inf,rrt_star,lowest uncertainty
